epoch,loss,iou,pd,fa
0,0.92841,0.001574,0.615646,0.11974627
1,0.851173,0.134108,0.802721,0.00101543
2,0.734593,0.204908,0.659864,0.00040113
3,0.708995,0.363208,0.721088,0.00013239
4,0.667909,0.35825,0.772109,0.00014112
5,0.671745,0.420797,0.792517,6.734e-05
6,1.403053,0.460643,0.785714,4.676e-05
7,1.250232,0.510935,0.77551,5.352e-05
8,1.116821,0.479191,0.857143,0.00010051
9,1.006654,0.472417,0.833333,5.739e-05
10,1.014538,0.432128,0.870748,9.945e-05
11,0.984702,0.50098,0.802721,2.46e-05
12,0.941841,0.496796,0.812925,3.902e-05
13,0.939008,0.518219,0.823129,2.923e-05
14,0.947062,0.441964,0.894558,0.00014492
15,0.923518,0.536146,0.891156,4.919e-05
16,0.907986,0.52688,0.884354,6.445e-05
17,0.915976,0.544049,0.914966,4.714e-05
18,0.896872,0.505241,0.904762,0.0001059
19,0.919692,0.51717,0.867347,4.6e-05
20,0.900668,0.528431,0.87415,6.179e-05
21,0.899673,0.532089,0.870748,6.104e-05
22,0.89705,0.558348,0.880952,2.581e-05
23,0.88761,0.58605,0.880952,4.6e-05
24,0.8687,0.566173,0.853741,1.769e-05
25,0.88846,0.572873,0.894558,3.363e-05
26,0.858976,0.574762,0.918367,6.718e-05
27,0.88414,0.50637,0.901361,9.899e-05
28,0.876822,0.543795,0.863946,2.938e-05
29,0.869756,0.574586,0.897959,3.849e-05
30,0.878377,0.548765,0.870748,2.361e-05
31,0.87023,0.586614,0.904762,2.589e-05
32,0.862067,0.59662,0.918367,3.5e-05
33,0.856004,0.600121,0.894558,3.651e-05
34,0.876223,0.53679,0.935374,9.497e-05
35,0.866421,0.555083,0.897959,7.052e-05
36,0.898033,0.572113,0.918367,6.195e-05
37,0.869663,0.559318,0.914966,3.401e-05
38,0.858746,0.561994,0.894558,3.09e-05
39,0.838799,0.578114,0.884354,1.161e-05
40,0.843549,0.609193,0.887755,3.128e-05
41,0.850172,0.584778,0.867347,3.371e-05
42,0.853798,0.58637,0.887755,2.87e-05
43,0.81958,0.596453,0.911565,3.811e-05
44,0.853419,0.592833,0.918367,4.168e-05
45,0.846981,0.580808,0.870748,4.039e-05
46,0.84861,0.619819,0.891156,2.513e-05
47,0.834188,0.573274,0.901361,2.961e-05
48,0.797595,0.621521,0.911565,3.105e-05
49,0.835333,0.595168,0.857143,1.511e-05
